Price_NT,District,Ping,Rooms,type
93000,萬華區,52.78,2,電梯大樓
80000,北投區,62.88,3,電梯大樓
33500,中山區,16.02,1,電梯大樓
75000,大安區,43.35,4,電梯大樓
86000,信義區,39.06,2,電梯大樓
40000,士林區,40.61,3,電梯大樓
39500,中山區,24.34,1,電梯大樓
41000,內湖區,39.69,3,電梯大樓
90000,士林區,69,3,電梯大樓
200000,信義區,128,5,電梯大樓
25000,大同區,11.21,1,電梯大樓
30000,大安區,13.58,1,電梯大樓
58000,北投區,58.88,3,電梯大樓
26500,信義區,18.19,1,電梯大樓
50000,信義區,23.13,2,電梯大樓
27000,內湖區,24.09,1,電梯大樓
24000,北投區,10.47,1,電梯大樓
180000,大同區,70.3,3,電梯大樓
96000,大同區,48.24,3,電梯大樓
36000,萬華區,9.68,1,電梯大樓
45000,松山區,40.73,1,電梯大樓
145000,信義區,83.7,3,電梯大樓
29000,大安區,9.17,1,電梯大樓
37000,文山區,46.3,3,電梯大樓
42000,內湖區,33.57,3,電梯大樓
69998,士林區,88,5,電梯大樓
30800,內湖區,12,1,電梯大樓
20000,大同區,10.03,1,電梯大樓
35000,內湖區,15.55,1,電梯大樓
130000,內湖區,83.31,4,電梯大樓
145000,內湖區,72.31,3,電梯大樓
75000,內湖區,56.17,2,電梯大樓
35000,中山區,15.15,1,電梯大樓
105000,內湖區,89.92,4,電梯大樓
120000,內湖區,101.43,4,電梯大樓
75000,中山區,83.79,4,電梯大樓
25800,內湖區,12.96,1,電梯大樓
60000,中正區,21.02,1,電梯大樓
32000,中山區,22.74,2,電梯大樓
55000,信義區,22,1,電梯大樓
45000,中山區,12.93,2,電梯大樓
68000,大安區,32,2,電梯大樓
50000,文山區,58,3,電梯大樓
33500,士林區,29.66,1,電梯大樓
64000,信義區,25,1,電梯大樓
68000,信義區,30,1,電梯大樓
68000,中山區,33,1,電梯大樓
29000,大安區,13.73,1,電梯大樓
75000,士林區,49.08,4,電梯大樓
47000,萬華區,32.75,2,電梯大樓
65000,大安區,33.29,3,電梯大樓
35000,北投區,43.94,3,電梯大樓
58800,內湖區,45,3,電梯大樓
80000,士林區,51.58,3,電梯大樓
180000,中正區,95.04,5,電梯大樓
29800,中山區,15.03,1,電梯大樓
31000,內湖區,12.17,1,電梯大樓
24000,中山區,11.44,1,電梯大樓
65000,北投區,65.81,4,電梯大樓
26000,中山區,19.84,1,電梯大樓
45000,內湖區,27.36,2,電梯大樓
73500,士林區,35.31,2,電梯大樓
37000,內湖區,38.9,2,電梯大樓
168000,信義區,61.9,2,電梯大樓
48000,信義區,43.29,4,電梯大樓
60000,北投區,51.24,3,電梯大樓
65000,松山區,36.89,3,電梯大樓
26000,北投區,15.04,2,電梯大樓
27000,中山區,13.82,1,電梯大樓
45000,中山區,12.02,1,電梯大樓
42800,內湖區,47.25,3,電梯大樓
55000,士林區,53.64,4,電梯大樓
47000,文山區,68.55,2,電梯大樓
86000,中山區,64.27,3,電梯大樓
55000,松山區,42.57,3,電梯大樓
35000,萬華區,38.34,3,電梯大樓
39900,信義區,31.32,2,電梯大樓
27000,中正區,11.83,2,電梯大樓
85000,大安區,39.36,3,電梯大樓
48000,南港區,35.07,2,電梯大樓
120000,信義區,61.9,3,電梯大樓
125000,信義區,74.29,3,電梯大樓
34000,大安區,11.12,1,電梯大樓
35000,內湖區,30.84,1,電梯大樓
75000,大安區,45.16,2,電梯大樓
62000,萬華區,58.37,3,電梯大樓
75000,大安區,38.11,1,電梯大樓
36000,文山區,46.5,2,電梯大樓
33000,中山區,13.41,1,電梯大樓
45000,中山區,23.23,1,電梯大樓
68000,大安區,26.71,1,電梯大樓
26000,文山區,17.15,1,電梯大樓
99000,大安區,53.03,4,電梯大樓
62000,士林區,55.47,4,電梯大樓
66500,士林區,63.21,3,電梯大樓
